id,position,note_letter,accidental,octave,midi_number
cdf4tp,1,C,double-flat,4,58
cdf5tp,1,C,double-flat,5,70
cdf6tp,1,C,double-flat,6,82
cfl4tp,2,C,flat,4,59
cfl5tp,2,C,flat,5,71
cfl6tp,2,C,flat,6,83
cna4tp,0,C,natural,4,60
cna5tp,0,C,natural,5,72
cna6tp,0,C,natural,6,84
csh4tp,123,C,sharp,4,61
csh5tp,12,C,sharp,5,73
csh6tp,12,C,sharp,6,85
cds4tp,13,C,double-sharp,4,62
cds5tp,1,C,double-sharp,5,74
cds6tp,1,C,double-sharp,6,86
ddf4tp,0,D,double-flat,4,60
ddf5tp,0,D,double-flat,5,72
ddf6tp,0,D,double-flat,6,84
dfl4tp,123,D,flat,4,61
dfl5tp,12,D,flat,5,73
dfl6tp,12,D,flat,6,85
dna4tp,13,D,natural,4,62
dna5tp,1,D,natural,5,74
dna6tp,1,D,natural,6,86
dsh4tp,23,D,sharp,4,63
dsh5tp,2,D,sharp,5,75
dsh6tp,2,D,sharp,6,87
dds4tp,12,D,double-sharp,4,64
dds5tp,0,D,double-sharp,5,76
dds6tp,0,D,double-sharp,6,88
edf4tp,13,E,double-flat,4,62
edf5tp,1,E,double-flat,5,74
edf6tp,1,E,double-flat,6,86
efl4tp,23,E,flat,4,63
efl5tp,2,E,flat,5,75
efl6tp,2,E,flat,6,87
ena4tp,12,E,natural,4,64
ena5tp,0,E,natural,5,76
ena6tp,0,E,natural,6,88
esh4tp,1,E,sharp,4,65
esh5tp,1,E,sharp,5,77
esh6tp,1,E,sharp,6,89
eds4tp,2,E,double-sharp,4,66
eds5tp,2,E,double-sharp,5,78
fdf4tp,23,F,double-flat,4,63
fdf5tp,2,F,double-flat,5,75
fdf6tp,2,F,double-flat,6,87
ffl4tp,12,F,flat,4,64
ffl5tp,0,F,flat,5,76
ffl6tp,0,F,flat,6,88
fna4tp,1,F,natural,4,65
fna5tp,1,F,natural,5,77
fna6tp,1,F,natural,6,89
fsh3tp,123,F,sharp,3,54
fsh4tp,2,F,sharp,4,66
fsh5tp,2,F,sharp,5,78
fds3tp,13,F,double-sharp,3,55
fds4tp,0,F,double-sharp,4,67
fds5tp,0,F,double-sharp,5,79
gdf4tp,1,G,double-flat,4,65
gdf5tp,1,G,double-flat,5,77
gfl3tp,123,G,flat,3,54
gfl4tp,2,G,flat,4,66
gfl5tp,2,G,flat,5,78
gna3tp,13,G,natural,3,55
gna4tp,0,G,natural,4,67
gna5tp,0,G,natural,5,79
gsh3tp,23,G,sharp,3,56
gsh4tp,23,G,sharp,4,68
gsh5tp,23,G,sharp,5,70
gds3tp,12,G,double-sharp,3,57
gds4tp,12,G,double-sharp,4,69
gds5tp,12,G,double-sharp,5,71
adf3tp,13,A,double-flat,3,55
adf4tp,0,A,double-flat,4,67
adf5tp,0,A,double-flat,5,79
afl3tp,23,A,flat,3,56
afl4tp,23,A,flat,4,68
afl5tp,23,A,flat,5,70
ana3tp,12,A,natural,3,57
ana4tp,12,A,natural,4,69
ana5tp,12,A,natural,5,71
ash3tp,1,A,sharp,3,58
ash4tp,1,A,sharp,4,70
ash5tp,1,A,sharp,5,82
ads3tp,2,A,double-sharp,3,59
ads4tp,2,A,double-sharp,4,71
ads5tp,2,A,double-sharp,5,83
bdf3tp,12,B,double-flat,3,57
bdf4tp,12,B,double-flat,4,69
bdf5tp,12,B,double-flat,5,71
bfl3tp,1,B,flat,3,58
bfl4tp,1,B,flat,4,70
bfl5tp,1,B,flat,5,82
bna3tp,2,B,natural,3,59
bna4tp,2,B,natural,4,71
bna5tp,2,B,natural,5,83
bsh3tp,0,B,sharp,3,60
bsh4tp,0,B,sharp,4,72
bsh5tp,0,B,sharp,5,84
bds3tp,123,B,double-sharp,3,61
bds4tp,12,B,double-sharp,4,73
bds5tp,12,B,double-sharp,5,85
