id,quiz_id,pitch_id,transposed_answer_pitch_id
1,1,cna4tp,null
2,1,dna4tp,null
3,1,ena4tp,null
4,2,cna4tp,null
5,2,dna4tp,null
6,2,dna4tp,null
7,2,fna4tp,null
8,3,cna4tp,null
9,3,dna4tp,null
10,3,ena4tp,null
11,3,fna4tp,null
12,3,gna4tp,null
13,4,cna4tp,null
14,4,dna4tp,null
15,4,ena4tp,null
16,4,fna4tp,null
17,4,gna4tp,null
18,4,bna3tp,null
19,5,cna4tp,null
20,5,gna4tp,null
21,5,bna3tp,null
22,5,bfl3tp,null
23,6,gna4tp,null
24,6,gfl4tp,null
25,6,gdf4tp,null
26,6,cna5tp,null
27,6,cfl5tp,null
28,6,cdf5tp,null
29,6,dfl5tp,null
30,6,ddf5tp,null
31,7,cna4tp,Bfl3tp
32,7,dna4tp,cna4tp
33,7,ena4tp,dna4tp
34,7,fna4tp,efl4tp
35,7,gna4tp,fna4tp
36,7,ana4tp,gna4tp
37,7,bna4tp,ana4tp
